Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
FRENCH,FRA,GOV,,-3.07692307692307,202003,1,https://www.politico.eu/article/france-bans-gatherings-of-1000-people-to-contain-coronavirus/
HEALTH MINIST,ISR,GOV,,2.41545893719806,202003,1,http://www.israelnationalnews.com/News/News.aspx/276997
HEALTH MINIST,ISR,GOV,MED,1.8018018018018,202003,1,http://www.israelnationalnews.com/News/Flash.aspx/490610
ISRAEL,ISR,GOV,MED,1.8018018018018,202003,1,http://www.israelnationalnews.com/News/Flash.aspx/490610
HEALTH OFFICIAL,JPN,GOV,,-3.74115267947421,202003,1,https://www.independent.co.uk/news/world/americas/us-politics/coronavirus-trump-cdc-health-officials-overruled-elderly-flying-mike-pence-a9385121.html
HEALTH DEPARTMENT,USA,GOV,HLH,-2.77777777777777,202003,1,http://www.baltimoresun.com/coronavirus/bs-md-coronavirus-saturday-20200308-7bzmbv4znvamdbdlqrfooduevu-story.html
HEALTH DEPARTMENT,USA,GOV,HLH,-2.77777777777777,202003,1,http://www.baltimoresun.com/coronavirus/bs-md-coronavirus-saturday-20200308-7bzmbv4znvamdbdlqrfooduevu-story.html
HEALTH MINIST,SAU,GOV,MED,-2.63157894736842,202003,1,http://www.gdnonline.com/Details/785221/Saudi-asks-people-arriving-from-four-countries-to-self-quarantine
WORLD HEALTH ORGANIZATION,EGY,GOV,,-1.69898298640813,202003,2,https://www.abcactionnews.com/news/national/coronavirus/egypt-says-cruise-ship-quarantined-over-new-virus-cluster
WORLD HEALTH ORGANIZATION,USA,GOV,,-4.67625899280576,202003,1,https://www.bnnbloomberg.ca/coronavirus-s-true-lethal-power-still-eludes-disease-experts-1.1401142
HEALTH DEPARTMENT,IND,GOV,,-2.6364193746168,202003,1,https://indianexpress.com/article/india/coronavirus-delhi-hyderabad-india-china-wuhan-covid-19-6304375/
WORLD HEALTH ORGANIZATION,IRN,GOV,,-3.23723460962094,202003,2,http://www.xinhuanet.com/english/2020-03/08/c_138856121.htm
HEALTH MINIST,ISR,GOV,,-4.91803278688525,202003,1,https://hamodia.com/2020/03/08/israel-edging-toward-state-emergency-due-coronavirus/
HEALTH MINIST,ISR,GOV,HLH,-2.82979608822305,202003,1,https://www.timesofisrael.com/doctor-sees-feminist-medicine-as-cure-for-medical-gender-discrimination/
HEALTH MINIST,ISR,GOV,HLH,-2.82979608822305,202003,1,https://www.timesofisrael.com/doctor-sees-feminist-medicine-as-cure-for-medical-gender-discrimination/
HEALTH MINIST,ISR,GOV,HLH,-2.82979608822305,202003,1,https://www.timesofisrael.com/doctor-sees-feminist-medicine-as-cure-for-medical-gender-discrimination/
WORLD HEALTH ORGANIZATION,ITA,GOV,,-3.52220520673813,202003,1,https://www.thenews.com.pk/print/625445-pope-s-sunday-prayer-to-be-livestreamed-as-coronavirus-spreads
